parametro,corr_CA,vol_I
rho,0.00873149516767952,0.0541830226906341
rho,0.01134571322471052,0.052598336503908466
rho,0.012468907473890333,0.056372515573226714
alpha,0.014853362327072059,0.013048637954729323
alpha,0.012125336360814505,0.054369599951899515
alpha,0.014668296285987968,0.2571067959550172
r_star,-0.014273505544640573,0.07124596573438578
r_star,0.012125336360814505,0.054369599951899515
r_star,0.009307956036845408,0.05794349885163827
sigma_eps,0.006157569265763103,0.02823273303688107
sigma_eps,0.012125336360814505,0.054369599951899515
sigma_eps,0.023931599997913913,0.10842600119250662
beta,0.01226632193245495,0.07213010016188473
beta,0.012125336360814505,0.054369599951899515
beta,0.013976310372718872,0.08447546091731527
